arm,loss,level_weighted,variant,fold_id,test_year,covers_covid,headline,seed,best_epoch,ensemble,mae,rmse,peak_mae,peak_cells,cells
quantile,quantile,True,v1,3,2019,False,True,1,48.0,False,17.711711883544922,38.16154098510742,34.27161407470703,476,1300
quantile,quantile,True,v1,3,2019,False,True,2,64.0,False,17.479873657226562,36.99747085571289,33.82262420654297,476,1300
quantile,quantile,True,v1,3,2019,False,True,-1,57.0,True,17.479843139648438,37.05590057373047,33.84682083129883,476,1300
baseline,mse,False,v1,4,2020,True,False,0,20.0,False,7.380745887756348,15.75118350982666,26.84035873413086,117,1300
baseline,mse,False,v1,4,2020,True,False,1,16.0,False,7.099344730377197,15.19214916229248,25.210918426513672,117,1300
baseline,mse,False,v1,4,2020,True,False,2,30.0,False,7.988790035247803,17.37952423095703,30.13618278503418,117,1300
baseline,mse,False,v1,4,2020,True,False,-1,22.0,True,7.463873863220215,15.922562599182129,27.24102020263672,117,1300
huber,huber,False,v1,4,2020,True,False,0,20.0,False,7.252161979675293,15.334016799926758,25.52703285217285,117,1300
huber,huber,False,v1,4,2020,True,False,1,67.0,False,7.2099609375,15.212080955505371,24.83025550842285,117,1300
huber,huber,False,v1,4,2020,True,False,2,31.0,False,7.1609930992126465,15.241094589233398,24.719602584838867,117,1300
huber,huber,False,v1,4,2020,True,False,-1,39.333333333333336,True,7.171658039093018,15.07206916809082,24.784696578979492,117,1300
level_weighted,mse,True,v1,4,2020,True,False,0,20.0,False,7.050114154815674,15.654874801635742,26.30479621887207,117,1300
level_weighted,mse,True,v1,4,2020,True,False,1,32.0,False,7.3912153244018555,16.45355224609375,27.29698944091797,117,1300
level_weighted,mse,True,v1,4,2020,True,False,2,17.0,False,6.636521816253662,14.8106050491333,24.361263275146484,117,1300
level_weighted,mse,True,v1,4,2020,True,False,-1,23.0,True,6.969529628753662,15.444364547729492,25.615318298339844,117,1300
huber_weighted,huber,True,v1,4,2020,True,False,0,41.0,False,7.0993218421936035,15.622471809387207,26.58762550354004,117,1300
huber_weighted,huber,True,v1,4,2020,True,False,1,32.0,False,7.13109827041626,15.68194580078125,25.377336502075195,117,1300
huber_weighted,huber,True,v1,4,2020,True,False,2,49.0,False,6.8001275062561035,14.89470100402832,24.398548126220703,117,1300
huber_weighted,huber,True,v1,4,2020,True,False,-1,40.666666666666664,True,6.9860615730285645,15.287365913391113,25.308652877807617,117,1300
quantile,quantile,True,v1,4,2020,True,False,0,37.0,False,6.8108720779418945,15.030688285827637,24.76747703552246,117,1300
quantile,quantile,True,v1,4,2020,True,False,1,52.0,False,6.909071445465088,15.021278381347656,25.48926544189453,117,1300
quantile,quantile,True,v1,4,2020,True,False,2,34.0,False,6.774541854858398,15.083996772766113,25.01227378845215,117,1300
quantile,quantile,True,v1,4,2020,True,False,-1,41.0,True,6.807020664215088,14.936980247497559,24.938148498535156,117,1300
baseline,mse,False,v1,5,2021,True,False,0,23.0,False,7.283191204071045,19.724395751953125,34.79633331298828,31,1300
baseline,mse,False,v1,5,2021,True,False,1,11.0,False,7.166135787963867,20.097848892211914,34.17428970336914,31,1300
baseline,mse,False,v1,5,2021,True,False,2,15.0,False,7.173697471618652,19.426536560058594,33.00749969482422,31,1300
baseline,mse,False,v1,5,2021,True,False,-1,16.333333333333332,True,7.182339191436768,19.684465408325195,33.60781478881836,31,1300
huber,huber,False,v1,5,2021,True,False,0,32.0,False,7.205492973327637,19.642648696899414,34.411338806152344,31,1300
huber,huber,False,v1,5,2021,True,False,1,33.0,False,7.2231550216674805,19.3851318359375,35.41976547241211,31,1300
huber,huber,False,v1,5,2021,True,False,2,31.0,False,7.228078365325928,19.601024627685547,34.49295425415039,31,1300
huber,huber,False,v1,5,2021,True,False,-1,32.0,True,7.206406116485596,19.51947021484375,34.59189987182617,31,1300
level_weighted,mse,True,v1,5,2021,True,False,0,3.0,False,7.259576320648193,20.217241287231445,36.91270446777344,31,1300
level_weighted,mse,True,v1,5,2021,True,False,1,10.0,False,7.2423601150512695,20.246047973632812,37.5126838684082,31,1300
level_weighted,mse,True,v1,5,2021,True,False,2,15.0,False,7.26992654800415,20.558910369873047,37.77220153808594,31,1300
level_weighted,mse,True,v1,5,2021,True,False,-1,9.333333333333334,True,7.251396656036377,20.329423904418945,37.39919662475586,31,1300
huber_weighted,huber,True,v1,5,2021,True,False,0,9.0,False,7.227691650390625,20.20392417907715,36.495506286621094,31,1300
huber_weighted,huber,True,v1,5,2021,True,False,1,33.0,False,7.250177383422852,19.94363784790039,36.81706237792969,31,1300
huber_weighted,huber,True,v1,5,2021,True,False,2,34.0,False,7.2482123374938965,20.34336280822754,36.31278610229492,31,1300
huber_weighted,huber,True,v1,5,2021,True,False,-1,25.333333333333332,True,7.233816146850586,20.138723373413086,36.51481628417969,31,1300
quantile,quantile,True,v1,5,2021,True,False,0,9.0,False,7.193153381347656,20.13252067565918,35.8575439453125,31,1300
quantile,quantile,True,v1,5,2021,True,False,1,16.0,False,7.205367565155029,20.216161727905273,37.19340133666992,31,1300
quantile,quantile,True,v1,5,2021,True,False,2,15.0,False,7.20794153213501,20.485797882080078,36.287811279296875,31,1300
quantile,quantile,True,v1,5,2021,True,False,-1,13.333333333333334,True,7.19661808013916,20.26932716369629,36.44625473022461,31,1300
baseline,mse,False,v1,6,2022,False,True,0,12.0,False,12.107271194458008,22.106462478637695,23.803007125854492,116,1325
baseline,mse,False,v1,6,2022,False,True,1,12.0,False,12.125024795532227,22.150911331176758,23.472610473632812,116,1325
baseline,mse,False,v1,6,2022,False,True,2,13.0,False,12.124615669250488,22.139997482299805,23.793004989624023,116,1325
baseline,mse,False,v1,6,2022,False,True,-1,12.333333333333334,True,12.098886489868164,22.11159324645996,23.66375732421875,116,1325
huber,huber,False,v1,6,2022,False,True,0,23.0,False,12.385486602783203,22.59111785888672,22.94367790222168,116,1325
huber,huber,False,v1,6,2022,False,True,1,33.0,False,12.247653007507324,22.349416732788086,23.2629451751709,116,1325
huber,huber,False,v1,6,2022,False,True,2,38.0,False,12.274893760681152,22.35594940185547,23.467872619628906,116,1325
huber,huber,False,v1,6,2022,False,True,-1,31.333333333333332,True,12.283669471740723,22.411226272583008,23.18816375732422,116,1325
