date,canonical_name,rainfall_era5,rainfall_chirps,difference_mm,agreement
2019-10-15,Colombo,111.21599341135057,49.73278721948103,61.48,era5 only
2019-10-20,Colombo,62.81188775553665,26.73837275032565,36.07,era5 only
2019-12-20,Colombo,91.48705690957522,4.361846081500703,87.13,era5 only
2019-12-22,Colombo,62.69791498763264,4.89269256979769,57.81,era5 only
2020-05-15,Colombo,15.264744851918753,57.6471162157926,-42.38,chirps only
2020-09-06,Colombo,49.15297534604328,72.32774629497528,-23.17,chirps only
2020-09-18,Colombo,63.91720161998212,28.879159628434632,35.04,era5 only
2020-11-20,Colombo,61.29268792030969,11.80699700565772,49.49,era5 only
2021-01-13,Colombo,58.50772923442048,4.679873130559924,53.83,era5 only
2021-03-08,Colombo,70.27000727407375,15.95086048301784,54.32,era5 only
2021-05-03,Colombo,65.52495982470674,30.11159260550414,35.41,era5 only
2021-05-12,Colombo,56.22387206598677,38.539252196442,17.68,era5 only
2021-05-13,Colombo,40.1229004494403,88.05057001599403,-47.93,chirps only
2021-05-24,Colombo,43.75306456457287,57.42710737150365,-13.67,chirps only
2021-05-25,Colombo,53.99837349254811,38.63529029538415,15.36,era5 only
2021-05-26,Colombo,8.008264032295331,50.61983639639077,-42.61,chirps only
2021-06-03,Colombo,21.19535568328057,82.93235786351293,-61.74,chirps only
2021-06-04,Colombo,25.63153091922092,57.92411145817151,-32.29,chirps only
2021-06-13,Colombo,19.419848350245843,99.0847461527044,-79.66,chirps only
2021-07-09,Colombo,51.39523798501585,59.80780142081868,-8.41,both
2021-07-26,Colombo,9.921912395825554,51.69681948171963,-41.77,chirps only
2021-09-15,Colombo,11.874372851037784,74.28920594085349,-62.41,chirps only
2021-10-28,Colombo,50.14526358385285,24.340242375460555,25.81,era5 only
2021-10-29,Colombo,78.44175669048994,26.82290974729713,51.62,era5 only
2021-11-06,Colombo,19.90885062142199,61.340789074464304,-41.43,chirps only
2021-11-08,Colombo,51.35689865717475,29.8557021568472,21.5,era5 only
2022-04-04,Colombo,52.0781067080104,8.945877022504806,43.13,era5 only
2022-04-10,Colombo,29.92438013678337,56.79750937990709,-26.87,chirps only
2022-05-13,Colombo,42.17087065021321,103.94899731644718,-61.78,chirps only
2022-05-14,Colombo,74.48002088409875,56.66904939944095,17.81,both
2022-05-31,Colombo,49.79447475970861,51.21311273449121,-1.42,chirps only
2022-08-26,Colombo,27.574454376542963,52.63075188753824,-25.06,chirps only
2022-08-30,Colombo,29.61830688892613,69.01413123213165,-39.4,chirps only
2022-09-04,Colombo,14.171560675054735,69.517888393142,-55.35,chirps only
2022-09-05,Colombo,34.88167199828594,80.60111854163087,-45.72,chirps only
2022-10-14,Colombo,28.25393036103592,62.00617963756215,-33.75,chirps only
2022-10-20,Colombo,22.82324817216309,55.9495067769831,-33.13,chirps only
2023-02-03,Colombo,54.19520717332704,22.93391588102687,31.26,era5 only
2023-05-01,Colombo,28.70600186048988,50.171034363963415,-21.47,chirps only
2023-05-04,Colombo,19.753091088352686,65.8628491308906,-46.11,chirps only
2023-05-08,Colombo,9.356870220113231,66.60939247356767,-57.25,chirps only
2023-06-01,Colombo,4.139213769948186,68.23072311175956,-64.09,chirps only
2023-08-30,Colombo,20.91986544748688,67.1086656027707,-46.19,chirps only
2023-09-03,Colombo,34.14228311767325,53.29356145850095,-19.15,chirps only
2023-09-06,Colombo,16.424053204206484,52.93912764510239,-36.52,chirps only
2023-09-28,Colombo,18.09845884047964,52.62011746571285,-34.52,chirps only
2023-09-29,Colombo,26.628500905502666,78.7694108109908,-52.14,chirps only
2023-10-17,Colombo,55.66284160023596,13.271871039043774,42.39,era5 only
2023-10-18,Colombo,87.79442783449358,49.03588359438291,38.76,era5 only
2023-10-28,Colombo,63.64712200690068,29.943716235594334,33.7,era5 only
2023-11-02,Colombo,78.98837577303723,32.82846798346261,46.16,era5 only
2023-11-03,Colombo,55.0776259294755,30.420398409713428,24.66,era5 only
2023-11-27,Colombo,55.71817896928778,15.59054864807563,40.13,era5 only
2024-04-12,Colombo,89.57881009043741,7.811381204572591,81.77,era5 only
2024-05-18,Colombo,57.35615066485459,35.317359675970955,22.04,era5 only
2024-08-12,Colombo,62.06252517704419,21.83307231790369,40.23,era5 only
2024-09-02,Colombo,26.58834094725709,52.73290433445845,-26.14,chirps only
2024-10-11,Colombo,49.09842081280342,54.896499547871706,-5.8,chirps only
2024-10-13,Colombo,20.45244187227394,73.35980898753084,-52.91,chirps only
2024-11-19,Colombo,105.1840271110027,24.36528722186524,80.82,era5 only
2024-11-26,Colombo,105.6025941231456,65.51780954664407,40.08,both
2025-09-17,Colombo,13.087626232696245,74.81511544236275,-61.73,chirps only
2025-10-18,Colombo,71.84501319477953,39.82961290060389,32.02,era5 only
2025-10-19,Colombo,71.9679335806872,52.13253972521694,19.84,both
2025-10-24,Colombo,13.283460290501775,73.80201007288156,-60.52,chirps only
2025-11-17,Colombo,18.15000949445201,51.54705673191764,-33.4,chirps only
2025-11-23,Colombo,57.90445089849697,36.818419259418135,21.09,era5 only
2025-11-26,Colombo,50.81051073218408,60.16062884382771,-9.35,both
2025-11-27,Colombo,120.99947738971288,71.3605740479556,49.64,both
2025-11-28,Colombo,140.85951796577552,34.70838300184771,106.15,era5 only
2025-12-06,Colombo,73.7643736295454,7.517436690991579,66.25,era5 only
2006-06-20,Gampaha,20.767660807908964,70.04456361664225,-49.28,chirps only
2006-10-20,Gampaha,88.89247260761171,28.449109631905497,60.44,era5 only
2006-10-23,Gampaha,94.36889044096765,46.23263053543264,48.14,era5 only
2006-10-25,Gampaha,91.6465875075158,28.75173639916156,62.89,era5 only
2006-10-26,Gampaha,50.0587849177021,51.9192747218648,-1.86,both
2006-10-27,Gampaha,30.34221413425973,90.53200558768556,-60.19,chirps only
2006-11-03,Gampaha,61.43096297820086,26.875931032189875,34.56,era5 only
2006-11-04,Gampaha,57.10970587010184,12.536637749475428,44.57,era5 only
2006-11-06,Gampaha,111.28893838962485,21.613819070136405,89.68,era5 only
2006-11-18,Gampaha,65.86957885416568,28.96261285142869,36.91,era5 only
2007-04-07,Gampaha,64.14354054642948,39.26260006769049,24.88,era5 only
2007-04-11,Gampaha,61.84334261984167,37.78920938905159,24.05,era5 only
2007-05-28,Gampaha,23.967050837652053,53.91757201126051,-29.95,chirps only
2007-06-21,Gampaha,34.665747839363505,64.28147538134053,-29.62,chirps only
2007-06-22,Gampaha,17.382767888436298,76.37580768629047,-58.99,chirps only
2008-02-29,Gampaha,89.84342667492295,5.046846789062474,84.8,era5 only
2008-03-10,Gampaha,54.24187335995656,22.00800984948632,32.23,era5 only
